player_name,club_2024_25,league_2024_25,ig_followers,engagement_rate,club_2025_26,league_2025_26,club_ig_followers_2024_25,club_ig_followers_2025_26
Bradley Barcola,Paris Saint-Germain,Ligue 1,"1,650,758",14.75,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Trent Alexander-Arnold,Liverpool,Premier League,"16,657,873",7.61,Real Madrid,La Liga,"48,467,485","179,140,683"
Bruno Guimarães,Newcastle,Premier League,"3,611,599",11.7,Newcastle,Premier League,"3,712,647","3,712,647"
Nico Williams,Athletic Club,La Liga,"5,473,490",,Athletic Club,La Liga,"1,665,900","1,665,900"
Yann Sommer,Inter Milan,Serie A,"1,969,824",2.8,Inter Milan,Serie A,"14,504,939","14,504,939"
Eberechi Eze,Crystal Palace,Premier League,"3,174,674",8.29,Arsenal,Premier League,"2,336,502","32,288,446"
Bryan Mbeumo,Brentford,Premier League,"2,331,363",16.74,Manchester United,Premier League,"895,081","65,809,385"
Victor Osimhen,Galatasaray,Super Lig,"7,743,761",12.48,Galatasaray,Super Lig,"18,044,149","18,044,149"
Pau Cubarsí,Barcelona,La Liga,"6,050,230",8.22,Barcelona,La Liga,"145,936,297","145,936,297"
Federico Dimarco,Inter Milan,Serie A,"1,423,934",11.26,Inter Milan,Serie A,"14,504,939","14,504,939"
Rafael Leão,AC Milan,Serie A,"1,626,899",21.77,AC Milan,Serie A,"18,130,469","18,130,469"
Moisés Caicedo,Chelsea,Premier League,"3,228,163",3.73,Chelsea,Premier League,"43,976,708","43,976,708"
Jurriën Timber,Arsenal,Premier League,"1,571,638",15.08,Arsenal,Premier League,"32,288,446","32,288,446"
Martin Ødegaard,Arsenal,Premier League,"7,529,889",5.01,Arsenal,Premier League,"32,288,446","32,288,446"
Rodri,Manchester City,Premier League,,,Manchester City,Premier League,"56,452,450","56,452,450"
Cristiano Ronaldo,Al Nassr,Saudi Pro League,"674,951,353",1.8,Al Nassr,Saudi Pro League,"29,861,182","29,861,182"
Alejandro Balde,Barcelona,La Liga,"7,199,433",7.46,Barcelona,La Liga,"145,936,297","145,936,297"
Willian Pacho,Paris Saint-Germain,Ligue 1,"865,000",,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Alphonso Davies,Bayern Munich,Bundesliga,"5,558,535",1.08,Bayern Munich,Bundesliga,"44,903,622","44,903,622"
Sandro Tonali,Newcastle,Premier League,"1,830,062",7.39,Newcastle,Premier League,"3,712,647","3,712,647"
Rodrygo,Real Madrid,La Liga,"23,543,099",4.67,Real Madrid,La Liga,"179,140,683","179,140,683"
Mike Maignan,AC Milan,Serie A,"2,138,274",3.2,AC Milan,Serie A,"18,130,469","18,130,469"
Marcus Thuram,Inter Milan,Serie A,"2,625,785",14.17,Inter Milan,Serie A,"14,504,939","14,504,939"
Martín Zubimendi,Real Sociedad,La Liga,"925,572",15.11,Arsenal,Premier League,"1,303,815","32,288,446"
Aurélien Tchouaméni,Real Madrid,La Liga,"9,425,269",2.13,Real Madrid,La Liga,"179,140,683","179,140,683"
Antoine Semenyo,Bournemouth,Premier League,"1,107,914",2.08,Manchester City,Premier League,"1,348,261","56,452,450"
Josko Gvardiol,Manchester City,Premier League,"1,905,376",6.76,Manchester City,Premier League,"56,452,450","56,452,450"
Jan Oblak,Atletico Madrid,La Liga,"1,707,580",2.25,Atletico Madrid,La Liga,"17,865,213","17,865,213"
Álex Grimaldo,Bayer Leverkusen,Bundesliga,"1,097,069",1.74,Bayer Leverkusen,Bundesliga,"4,602,479","4,602,479"
Marc Cucurella,Chelsea,Premier League,"3,381,130",7.42,Chelsea,Premier League,"43,976,708","43,976,708"
Antonio Rüdiger,Real Madrid,La Liga,"13,279,073",2.33,Real Madrid,La Liga,"179,140,683","179,140,683"
Rúben Dias,Manchester City,Premier League,"4,470,451",3.35,Manchester City,Premier League,"56,452,450","56,452,450"
Arda Güler,Real Madrid,La Liga,"17,957,631",9.88,Real Madrid,La Liga,"179,140,683","179,140,683"
Emiliano Martínez,Aston Villa,Premier League,"15,498,968",7.17,Aston Villa,Premier League,"4,563,304","4,563,304"
Morgan Rogers,Aston Villa,Premier League,"921,508",12.25,Aston Villa,Premier League,"4,563,304","4,563,304"
Hugo Ekitiké,Eintracht Frankfurt,Bundesliga,"3,613,676",21.45,Liverpool,Premier League,"1,362,671","48,467,485"
Jérémy Doku,Manchester City,Premier League,"3,811,786",3.22,Manchester City,Premier League,"56,452,450","56,452,450"
Kenan Yildiz,Juventus,Serie A,"4,862,724",12.05,Juventus,Serie A,"58,947,998","58,947,998"
Nick Woltemade,Stuttgart,Bundesliga,"1,217,052",9.37,Newcastle,Premier League,"774,673","3,712,647"
Tijjani Reijnders,AC Milan,Serie A,"1,933,077",8.31,Manchester City,Premier League,"18,130,469","56,452,450"
Dean Huijsen,Bournemouth,Premier League,"5,486,345",6.77,Real Madrid,La Liga,"1,348,261","179,140,683"
Antoine Griezmann,Atletico Madrid,La Liga,"38,959,251",0.72,Atletico Madrid,La Liga,"17,865,213","17,865,213"
Joan García,Espanyol,La Liga,"3,198,020",,Barcelona,La Liga,"544,974","145,936,297"
Enzo Fernández,Chelsea,Premier League,"13,382,106",6.47,Chelsea,Premier League,"43,976,708","43,976,708"
Hakan Çalhanoğlu,Inter Milan,Serie A,"6,536,943",3.21,Inter Milan,Serie A,"14,504,939","14,504,939"
Estêvão,Palmeiras,Brazil Serie A,"5,107,817",2.72,Chelsea,Premier League,"7,643,850","43,976,708"
Phil Foden,Manchester City,Premier League,"12,394,364",2.41,Manchester City,Premier League,"56,452,450","56,452,450"
Fermín López,Barcelona,La Liga,"6,875,926",12.75,Barcelona,La Liga,"145,936,297","145,936,297"
Bernardo Silva,Manchester City,Premier League,"5,318,141",5.75,Manchester City,Premier League,"56,452,450","56,452,450"
Kevin De Bruyne,Manchester City,Premier League,"26,256,502",0.9,Napoli,Serie A,"56,452,450","5,281,032"
Dani Olmo,Barcelona,La Liga,"5,982,140",4.74,Barcelona,La Liga,"145,936,297","145,936,297"
João Pedro,Brighton,Premier League,"2,701,763",7.46,Chelsea,Premier League,"2,132,231","43,976,708"
Theo Hernández,AC Milan,Serie A,"4,679,646",4.13,Al Hilal,Saudi Pro League,"18,130,469","10,643,768"
Mikel Oyarzabal,Real Sociedad,La Liga,"418,461",7.73,Real Sociedad,La Liga,"1,303,815","1,303,815"
Daniel Muñoz,Crystal Palace,Premier League,"1,015,532",2.8,Crystal Palace,Premier League,"2,336,502","2,336,502"
André-Frank Zambo Anguissa,Napoli,Serie A,"399,000",,Napoli,Serie A,"5,281,032","5,281,032"
Dani Carvajal,Real Madrid,La Liga,"14,189,794",4.31,Real Madrid,La Liga,"179,140,683","179,140,683"
Granit Xhaka,Bayer Leverkusen,Bundesliga,"3,569,661",2.19,Sunderland,Premier League,"4,602,479","1,391,232"
Nico Paz,Como,Serie A,"3,314,210",14.06,Como,Serie A,"2,086,623","2,086,623"
Reece James,Chelsea,Premier League,"3,571,328",8.27,Chelsea,Premier League,"43,976,708","43,976,708"
Giorgian de Arrascaeta,Flamengo,Brazil Serie A,"8,779,013",5.8,Flamengo,Brazil Serie A,"24,949,886","24,949,886"
Riccardo Calafiori,Arsenal,Premier League,"2,383,705",12.58,Arsenal,Premier League,"32,288,446","32,288,446"
Mikel Merino,Arsenal,Premier League,"1,654,380",9.07,Arsenal,Premier League,"32,288,446","32,288,446"
Mile Svilar,Roma,Serie A,"339,222",19.12,Roma,Serie A,"7,215,677","7,215,677"
Miloš Kerkez,Bournemouth,Premier League,"2,078,505",3.65,Liverpool,Premier League,"1,348,261","48,467,485"
Tino Livramento,Newcastle,Premier League,"263,000",,Newcastle,Premier League,"3,712,647","3,712,647"
Manuel Neuer,Bayern Munich,Bundesliga,"15,035,151",1.9,Bayern Munich,Bundesliga,"44,903,622","44,903,622"
Mason Greenwood,Marseille,Ligue 1,"3,173,821",7.7,Marseille,Ligue 1,"3,913,977","3,913,977"
Álvaro Carreras,Benfica,Liga Portugal,"3,130,799",5.56,Real Madrid,La Liga,"3,480,938","179,140,683"
Micky van de Ven,Tottenham,Premier League,"1,007,956",13.0,Tottenham,Premier League,"16,979,444","16,979,444"
Antony,Real Betis,La Liga,"10,784,174",2.29,Real Betis,La Liga,"3,201,049","3,201,049"
Marcus Rashford,Aston Villa,Premier League,"22,356,855",2.84,Barcelona,La Liga,"4,563,304","145,936,297"
Mohammed Kudus,West Ham,Premier League,"942,896",8.65,Tottenham,Premier League,"4,478,833","16,979,444"
Matz Sels,Nottingham Forest,Premier League,"105,000",,Nottingham Forest,Premier League,"1,404,858","1,404,858"
Unai Simón,Athletic Club,La Liga,,,Athletic Club,La Liga,"1,665,900","1,665,900"
Jeremie Frimpong,Bayer Leverkusen,Bundesliga,"3,063,130",4.34,Liverpool,Premier League,"4,602,479","48,467,485"
Murillo,Nottingham Forest,Premier League,"702,516",6.51,Nottingham Forest,Premier League,"1,404,858","1,404,858"
Ibrahima Konaté,Liverpool,Premier League,"3,749,407",8.21,Liverpool,Premier League,"48,467,485","48,467,485"
Rodrigo De Paul,Atletico Madrid,La Liga,"15,005,477",5.77,Inter Miami,MLS,"17,865,213","18,271,962"
Thiago Almada,Lyon,Ligue 1,"2,541,184",4.57,Atletico Madrid,La Liga,"3,200,000","17,865,213"
Oihan Sancet,Athletic Club,La Liga,"121,000",,Athletic Club,La Liga,"1,665,900","1,665,900"
Isco,Real Betis,La Liga,"29,156,053",0.58,Real Betis,La Liga,"3,201,049","3,201,049"
Morgan Gibbs-White,Nottingham Forest,Premier League,"477,555",6.26,Nottingham Forest,Premier League,"1,404,858","1,404,858"
Xavi Simons,RB Leipzig,Bundesliga,"6,745,458",2.69,Tottenham,Premier League,"2,229,632","16,979,444"
Giuliano Simeone,Atletico Madrid,La Liga,"1,312,366",6.95,Atletico Madrid,La Liga,"17,865,213","17,865,213"
Christian Pulisic,AC Milan,Serie A,"7,769,844",2.49,AC Milan,Serie A,"18,130,469","18,130,469"
Cody Gakpo,Liverpool,Premier League,"2,458,599",5.54,Liverpool,Premier League,"48,467,485","48,467,485"
Ademola Lookman,Atalanta,Serie A,"1,901,195",14.91,Atletico Madrid,La Liga,"1,184,920","17,865,213"
Benjamin Šeško,RB Leipzig,Bundesliga,"2,297,027",25.23,Manchester United,Premier League,"2,229,632","65,809,385"
Kai Havertz,Arsenal,Premier League,"6,325,765",4.36,Arsenal,Premier League,"32,288,446","32,288,446"
Jonathan David,Lille,Ligue 1,"495,491",4.35,Juventus,Serie A,"1,183,448","58,947,998"
Chris Wood,Nottingham Forest,Premier League,"173,969",6.81,Nottingham Forest,Premier League,"1,404,858","1,404,858"
Matheus Cunha,Wolves,Premier League,"6,155,554",15.29,Manchester United,Premier League,"3,011,380","65,809,385"
Omar Marmoush,Manchester City,Premier League,"5,521,873",9.99,Manchester City,Premier League,"56,452,450","56,452,450"
Mateo Retegui,Atalanta,Serie A,"371,494",4.94,Al Qadsiah,Saudi Pro League,"1,184,920","490,433"
