player_id,player_name,nationality,position_group,club_2024_25,league_2024_25,club_season_start,mid_season_tranfers,club_2025_26,league_2025_26,transferred,moved_up,ig_followers,engagement_rate,google_trends,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,Whoscored_Rating,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,club_ig_followers,club_ig_followers_2024_25,club_ig_followers_2025_26,in_ballondor,consensus_count
P014,Viktor Gyökeres,Sweden,Forward,Sporting CP,Liga Portugal,Sporting CP,0,Arsenal,Premier League,1,1,4639929.0,12.34,9.62,33.0,2804.0,39.0,7.0,46.0,1.252,0.225,4.2,1.8,2.3,0.3,1.7,1.9,20.5,73.1,0.2,0.1,0.3,0.2,0.7,0.6,0.1,8.08,,,,1,Knockout phase play-offs,2,2979634,2979634,32288446,True,3
P015,Vinícius Júnior,Brazil,Forward,Real Madrid,La Liga,Real Madrid,0,Real Madrid,La Liga,0,0,62646004.0,3.57,18.84,30.0,2259.0,11.0,8.0,19.0,0.438,0.319,2.7,2.7,2.3,0.3,1.6,2.0,27.5,79.0,0.4,1.3,0.7,0.1,1.0,0.0,0.0,7.23,,,,2,Quarter Final,4,179140683,179140683,179140683,True,3
P016,Robert Lewandowski,Poland,Forward,Barcelona,La Liga,Barcelona,0,Barcelona,La Liga,0,0,38831213.0,1.11,13.01,34.0,2682.0,27.0,2.0,29.0,0.906,0.067,3.4,0.6,1.1,0.5,1.3,0.6,15.1,74.7,0.0,0.3,0.3,0.1,0.9,0.8,0.1,7.27,,,,1,Semi Final,5,145936297,145936297,145936297,True,3
P017,Scott McTominay,Scotland,Midfielder,Napoli,Serie A,Napoli,0,Napoli,Serie A,0,0,3587630.0,7.71,2.52,34.0,2941.0,12.0,4.0,16.0,0.367,0.122,2.2,1.1,1.8,0.1,1.4,0.8,26.7,85.1,0.0,1.2,1.3,0.7,1.3,1.5,0.1,7.26,,,,1,Not Qualified,0,5281032,5281032,5281032,True,3
P018,João Neves,Portugal,Midfielder,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,3328892.0,15.11,1.9,29.0,1851.0,3.0,8.0,11.0,0.146,0.389,1.0,0.6,1.1,0.1,0.6,1.1,54.1,92.2,0.1,2.2,2.2,0.8,0.6,0.7,0.3,7.11,,,,1,Winner,7,66864756,66864756,66864756,True,3
P019,Lautaro Martínez,Argentina,Forward,Inter Milan,Serie A,Inter Milan,0,Inter Milan,Serie A,0,0,11954418.0,2.48,3.78,31.0,2579.0,12.0,3.0,15.0,0.419,0.105,3.3,0.5,1.4,0.7,1.7,1.2,19.7,76.6,0.1,0.9,1.0,0.3,1.3,0.5,0.1,7.13,,,,2,Final,6,14504939,14504939,14504939,True,3
P020,Serhou Guirassy,Guinea,Forward,Borussia Dortmund,Bundesliga,Borussia Dortmund,0,Borussia Dortmund,Bundesliga,0,0,820973.0,4.78,1.63,30.0,2601.0,21.0,2.0,23.0,0.727,0.069,3.0,0.4,1.8,0.4,1.0,0.8,20.8,73.0,0.0,0.3,0.2,0.1,0.5,1.3,0.1,7.3,,,,4,Quarter Final,4,20544068,20544068,20544068,True,2
P021,Alexis Mac Allister,Argentina,Midfielder,Liverpool,Premier League,Liverpool,0,Liverpool,Premier League,0,0,8871045.0,3.47,1.51,35.0,2608.0,5.0,5.0,10.0,0.173,0.173,1.1,0.5,1.1,0.1,0.6,1.3,40.7,87.2,0.6,1.4,2.7,0.6,1.8,0.8,0.2,7.08,,,,1,Round of 16,3,48467485,48467485,48467485,True,3
P022,Jude Bellingham,England,Midfielder,Real Madrid,La Liga,Real Madrid,0,Real Madrid,La Liga,0,0,44337272.0,10.0,16.13,31.0,2495.0,9.0,8.0,17.0,0.325,0.289,2.0,1.3,2.1,0.3,1.4,1.4,48.7,87.5,0.0,2.2,2.0,0.9,1.1,0.7,0.1,7.27,,,,2,Quarter Final,4,179140683,179140683,179140683,True,3
P023,Fabián Ruiz,Spain,Midfielder,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,1602301.0,5.57,1.59,30.0,1923.0,4.0,5.0,9.0,0.187,0.234,1.4,0.5,0.3,0.2,0.5,1.2,52.9,91.0,0.1,2.4,1.2,0.5,0.2,0.8,0.1,6.87,,,,1,Winner,7,66864756,66864756,66864756,True,3
