player_name,trends_link
Frenkie de Jong,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFrenkie%20de%20Jong
Bruno Fernandes,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBruno%20Fernandes
Alessandro Bastoni,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlessandro%20Bastoni
David Raya,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDavid%20Raya
Jules Koundé,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJules%20Kound%C3%A9
Nicolò Barella,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CNicol%C3%B2%20Barella
Bradley Barcola,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBradley%20Barcola
Trent Alexander-Arnold,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CTrent%20Alexander-Arnold
Bruno Guimarães,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBruno%20Guimar%C3%A3es
Nico Williams,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CNico%20Williams
Yann Sommer,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CYann%20Sommer
Eberechi Eze,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CEberechi%20Eze
Bryan Mbeumo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBryan%20Mbeumo
Victor Osimhen,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CVictor%20Osimhen
Pau Cubarsí,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CPau%20Cubars%C3%AD
Federico Dimarco,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFederico%20Dimarco
