player_name,month,trends_rel
Achraf Hakimi,2024-08,0.0306
Achraf Hakimi,2024-09,0.0222
Achraf Hakimi,2024-10,0.0195
Achraf Hakimi,2024-11,0.0167
Achraf Hakimi,2024-12,0.0133
Achraf Hakimi,2025-01,0.0167
Achraf Hakimi,2025-02,0.0167
Achraf Hakimi,2025-03,0.0156
Achraf Hakimi,2025-04,0.0195
Achraf Hakimi,2025-05,0.0445
Achraf Hakimi,2025-06,0.0356
Achraf Hakimi,2025-07,0.0333
João Pedro,2024-07,0.0222
João Pedro,2024-08,0.0445
João Pedro,2024-09,0.04
João Pedro,2024-10,0.0139
João Pedro,2024-11,0.0222
João Pedro,2024-12,0.0267
João Pedro,2025-01,0.0334
João Pedro,2025-02,0.0222
João Pedro,2025-03,0.0445
João Pedro,2025-04,0.0195
João Pedro,2025-05,0.025
João Pedro,2025-06,0.1112
João Pedro,2025-07,1.0009
João Neves,2024-07,0.0889
João Neves,2024-08,0.05
João Neves,2024-09,0.0222
João Neves,2024-10,0.0222
João Neves,2024-11,0.0222
João Neves,2024-12,0.0111
João Neves,2025-01,0.0333
João Neves,2025-02,0.0222
João Neves,2025-03,0.0311
João Neves,2025-04,0.0445
João Neves,2025-05,0.05
João Neves,2025-06,0.1467
João Neves,2025-07,0.1112
Khvicha Kvaratskhelia,2024-07,0.0445
Khvicha Kvaratskhelia,2024-08,0.0611
Khvicha Kvaratskhelia,2024-09,0.0578
Khvicha Kvaratskhelia,2024-10,0.05
Khvicha Kvaratskhelia,2024-11,0.0445
Khvicha Kvaratskhelia,2024-12,0.0445
Khvicha Kvaratskhelia,2025-01,0.3224
Khvicha Kvaratskhelia,2025-02,0.0723
Khvicha Kvaratskhelia,2025-03,0.0934
Khvicha Kvaratskhelia,2025-04,0.1223
Khvicha Kvaratskhelia,2025-05,0.1723
Khvicha Kvaratskhelia,2025-06,0.1423
Khvicha Kvaratskhelia,2025-07,0.1112
Lautaro Martínez,2024-07,0.0667
Lautaro Martínez,2024-08,0.0834
Lautaro Martínez,2024-09,0.0756
Lautaro Martínez,2024-10,0.0945
Lautaro Martínez,2024-11,0.0667
Lautaro Martínez,2024-12,0.0667
Lautaro Martínez,2025-01,0.0667
Lautaro Martínez,2025-02,0.0667
Lautaro Martínez,2025-03,0.0756
Lautaro Martínez,2025-04,0.1612
Lautaro Martínez,2025-05,0.1945
Lautaro Martínez,2025-06,0.0978
Lautaro Martínez,2025-07,0.0445
Tino Livramento,2024-07,0.0111
Tino Livramento,2024-08,0.0167
Tino Livramento,2024-09,0.0133
Tino Livramento,2024-10,0.0139
Tino Livramento,2024-11,0.0195
Tino Livramento,2024-12,0.0133
Tino Livramento,2025-01,0.0111
Tino Livramento,2025-02,0.0111
Tino Livramento,2025-03,0.0133
Tino Livramento,2025-04,0.0139
Tino Livramento,2025-05,0.0139
Tino Livramento,2025-06,0.0222
Tino Livramento,2025-07,0.0111
Alexis Mac Allister,2024-07,0.0222
Alexis Mac Allister,2024-08,0.0222
Alexis Mac Allister,2024-09,0.0445
Alexis Mac Allister,2024-10,0.0278
Alexis Mac Allister,2024-11,0.0389
Alexis Mac Allister,2024-12,0.0356
Alexis Mac Allister,2025-01,0.0278
Alexis Mac Allister,2025-02,0.0389
Alexis Mac Allister,2025-03,0.0489
Alexis Mac Allister,2025-04,0.05
Alexis Mac Allister,2025-05,0.0445
Alexis Mac Allister,2025-06,0.0267
Alexis Mac Allister,2025-07,0.0333
Marcus Thuram,2024-07,0.0222
Marcus Thuram,2024-08,0.0445
Marcus Thuram,2024-09,0.0445
Marcus Thuram,2024-10,0.0612
Marcus Thuram,2024-11,0.0334
Marcus Thuram,2024-12,0.0489
Marcus Thuram,2025-01,0.0389
Marcus Thuram,2025-02,0.0667
Marcus Thuram,2025-03,0.0445
Marcus Thuram,2025-04,0.1112
Marcus Thuram,2025-05,0.1446
Marcus Thuram,2025-06,0.0623
Marcus Thuram,2025-07,0.0222
Marquinhos,2024-07,0.0222
Marquinhos,2024-08,0.0222
Marquinhos,2024-09,0.0222
Marquinhos,2024-10,0.0222
Marquinhos,2024-11,0.0222
Marquinhos,2024-12,0.0222
Marquinhos,2025-01,0.0222
Marquinhos,2025-02,0.0222
Marquinhos,2025-03,0.0356
Marquinhos,2025-04,0.0278
Marquinhos,2025-05,0.0834
Marquinhos,2025-06,0.0845
Marquinhos,2025-07,0.0667
Scott McTominay,2024-07,0.0889
Scott McTominay,2024-08,0.1779
Scott McTominay,2024-09,0.0889
Scott McTominay,2024-10,0.0445
Scott McTominay,2024-11,0.0278
Scott McTominay,2024-12,0.0267
Scott McTominay,2025-01,0.0278
Scott McTominay,2025-02,0.0222
Scott McTominay,2025-03,0.0222
Scott McTominay,2025-04,0.0667
Scott McTominay,2025-05,0.1612
Scott McTominay,2025-06,0.0311
Scott McTominay,2025-07,0.0333
Michael Olise,2024-07,0.0667
Michael Olise,2024-08,0.1
Michael Olise,2024-09,0.1067
Michael Olise,2024-10,0.05
Michael Olise,2024-11,0.0222
Michael Olise,2024-12,0.04
