,coef,std_err,p_value,ci_low,ci_high
Intercept,5.3153,1.3491,0.0001,2.6467,7.9839
C(position_group)[T.Forward],0.0261,0.3344,0.9378,-0.6353,0.6876
C(position_group)[T.Goalkeeper],0.5385,0.3664,0.144,-0.1862,1.2632
C(position_group)[T.Midfielder],-0.0086,0.2519,0.9729,-0.5068,0.4897
G_plus_A,0.0528,0.0148,0.0005,0.0236,0.082
minutes,-0.0002,0.0002,0.1755,-0.0005,0.0001
team_league_position,-0.0037,0.0342,0.9152,-0.0713,0.064
ucl_stage_ord,-0.1027,0.0534,0.0569,-0.2084,0.0031
log_club_ig,0.6068,0.0748,0.0,0.4588,0.7548
