,coef,std_err,p_value,ci_low,ci_high
Intercept,5.0658,1.26,0.0001,2.5962,7.5355
C(position_group)[T.Forward],0.1683,0.3175,0.5961,-0.454,0.7905
C(position_group)[T.Midfielder],-0.3201,0.2172,0.1405,-0.7457,0.1055
team_league_position,-0.0492,0.034,0.1482,-0.1159,0.0175
ucl_stage_ord,-0.135,0.0475,0.0045,-0.2281,-0.0418
log_club_ig,0.5451,0.0675,0.0,0.4127,0.6775
key_passes,0.5431,0.1697,0.0014,0.2105,0.8758
long_balls,0.306,0.0837,0.0003,0.1419,0.4701
shots_pg,0.3745,0.1355,0.0057,0.1088,0.6401
