sample,spec,predictors,k,n,SPV,R2,adjR2,CV_R2,significant
outfield only,Full specification,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles + long_balls + tackles + interceptions,10,129,12.9,0.57,0.526,0.459,"log_club_ig, shots_pg, long_balls"
outfield only,Base + key passes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes,5,129,25.8,0.466,0.435,0.388,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + shots,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg,5,129,25.8,0.538,0.511,0.478,"log_club_ig, shots_pg"
outfield only,Base + dribbles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + dribbles,5,129,25.8,0.48,0.45,0.401,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + long_balls,5,129,25.8,0.479,0.449,0.419,"G_plus_A, ucl_stage_ord, log_club_ig, long_balls"
outfield only,Base + fouled,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + fouled,5,129,25.8,0.466,0.435,0.4,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + crosses,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + crosses,5,129,25.8,0.464,0.433,0.395,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + tackles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + tackles,5,129,25.8,0.46,0.428,0.392,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + interceptions,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + interceptions,5,129,25.8,0.459,0.428,0.377,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + passes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + passes_pg,5,129,25.8,0.461,0.429,0.399,"G_plus_A, ucl_stage_ord, log_club_ig"
