,coef,std_err,p_value,ci_low,ci_high
Intercept,5.3153,1.4452,0.0002,2.4827,8.1479
C(position_group)[T.Forward],0.0261,0.3442,0.9395,-0.6486,0.7008
C(position_group)[T.Goalkeeper],0.5385,0.4532,0.2347,-0.3497,1.4266
C(position_group)[T.Midfielder],-0.0086,0.2333,0.9707,-0.4659,0.4487
G_plus_A,0.0528,0.0164,0.0013,0.0206,0.085
minutes,-0.0002,0.0002,0.2736,-0.0006,0.0002
team_league_position,-0.0037,0.0412,0.9294,-0.0844,0.0771
ucl_stage_ord,-0.1027,0.0641,0.1092,-0.2283,0.023
log_club_ig,0.6068,0.0779,0.0,0.454,0.7596
