,coef,std_err,p_value,ci_low,ci_high
Intercept,-4.1547,0.7836,0.0,-5.6906,-2.6189
C(position_group)[T.Forward],0.2461,0.1836,0.1803,-0.1139,0.606
C(position_group)[T.Midfielder],-0.07,0.1441,0.6271,-0.3524,0.2124
team_league_position,-0.0325,0.022,0.1389,-0.0756,0.0106
ucl_stage_ord,-0.0739,0.0362,0.0411,-0.1448,-0.003
log_club_ig,0.258,0.0448,0.0,0.1702,0.3458
shots_pg,0.465,0.0894,0.0,0.2897,0.6403
long_balls,0.1298,0.0533,0.0149,0.0254,0.2342
