player_name,position_group,club_2024_25,league_2024_25,nationality,Whoscored_Rating,log_attention,perf_z,group
Trent Alexander-Arnold,Defender,Liverpool,Premier League,England,7.06,16.6283935154839,1.0676977564243215,Top Stars
Bruno Guimarães,Midfielder,Newcastle,Premier League,Brazil,6.98,15.099661168529831,-0.14948229252946518,Underrated Performers
Nico Williams,Forward,Athletic Club,La Liga,Spain,6.98,15.515426996540517,-0.8236716930058146,Fan Favourites
Yann Sommer,Goalkeeper,Inter Milan,Serie A,Switzerland,6.77,14.493454756621583,-0.13851048400346908,Underrated Performers
Eberechi Eze,Midfielder,Crystal Palace,Premier League,England,7.09,14.970715507871914,0.3329785198859939,Underrated Performers
Bryan Mbeumo,Forward,Brentford,Premier League,Cameroon,7.33,14.661963633049407,0.16030792572662375,Underrated Performers
Victor Osimhen,Forward,Galatasaray,Super Lig,Nigeria,7.77,15.862398044858985,1.3973108749902603,Top Stars
Pau Cubarsí,Defender,Barcelona,La Liga,Spain,6.73,15.615606845813339,-0.7433970360150622,Fan Favourites
Federico Dimarco,Defender,Inter Milan,Serie A,Italy,6.91,14.168934021565335,0.24447285077005704,Underrated Performers
Rafael Leão,Forward,AC Milan,Serie A,Portugal,7.21,14.302186306831144,-0.17705651498164143,Underrated Performers
Moisés Caicedo,Midfielder,Chelsea,Premier League,Ecuador,7.02,14.987423802760063,0.02595800289433528,Underrated Performers
Jurriën Timber,Defender,Arsenal,Premier League,Netherlands,6.78,14.267628945554582,-0.4689887341303074,Squad Players
Martin Ødegaard,Midfielder,Arsenal,Premier League,Norway,6.9,15.83439085863157,-0.5003628833770739,Fan Favourites
Alejandro Balde,Defender,Barcelona,La Liga,Spain,6.73,15.78951283088534,-0.7433970360150622,Fan Favourites
Willian Pacho,Defender,Paris Saint-Germain,Ligue 1,Ecuador,6.88,13.670484785914017,0.0798278696392022,Squad Players
Alphonso Davies,Defender,Bayern Munich,Bundesliga,Canada,7.08,15.530845142298752,1.1774610771782263,Top Stars
Sandro Tonali,Midfielder,Newcastle,Premier League,Italy,6.83,14.419860404025117,-0.8073834003687326,Squad Players
Rodrygo,Forward,Real Madrid,La Liga,Brazil,7.13,16.974343299389815,-0.4019661421204849,Fan Favourites
Mike Maignan,Goalkeeper,AC Milan,Serie A,France,6.68,14.575509519511922,-0.8864670976222037,Squad Players
Marcus Thuram,Forward,Inter Milan,Serie A,France,7.24,14.780890456921082,-0.09271540480457452,Underrated Performers
Martín Zubimendi,Midfielder,Real Sociedad,La Liga,Spain,6.78,13.738167203755816,-1.026683769648487,Squad Players
Aurélien Tchouaméni,Midfielder,Real Madrid,La Liga,France,6.88,16.058904832005116,-0.5880830310889781,Fan Favourites
Antoine Semenyo,Forward,Bournemouth,Premier League,Ghana,7.2,13.917989525948466,-0.20517021837399627,Squad Players
Josko Gvardiol,Defender,Manchester City,Premier League,Croatia,7.0,14.460189922395076,0.7384077941626166,Underrated Performers
Jan Oblak,Goalkeeper,Atletico Madrid,La Liga,Slovenia,6.68,14.350587721452543,-0.8864670976222037,Squad Players
Álex Grimaldo,Defender,Bayer Leverkusen,Bundesliga,Spain,7.02,13.90815263609427,0.8481711149165166,Underrated Performers
Marc Cucurella,Defender,Chelsea,Premier League,Spain,6.68,15.033720531113508,-1.017805337899822,Squad Players
Antonio Rüdiger,Defender,Real Madrid,La Liga,Germany,6.62,16.40169989535927,-1.3470953001615267,Fan Favourites
Rúben Dias,Defender,Manchester City,Premier League,Portugal,6.66,15.312999856354795,-1.127568658653722,Fan Favourites
Arda Güler,Midfielder,Real Madrid,La Liga,Turkey,6.86,16.703525707906575,-0.6758031788008784,Fan Favourites
Emiliano Martínez,Goalkeeper,Aston Villa,Premier League,Argentina,6.71,16.556283999027723,-0.6371482264159564,Fan Favourites
Morgan Rogers,Midfielder,Aston Villa,Premier League,England,6.92,13.733766737551889,-0.4126427356651737,Squad Players
